name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"ДЕЛЬТА, частная школа-детский сад",../../sredneobrazovatelnaya-shkola/delta-chastnaya-shkola/index.html,a241,kirovskij,"","","",9.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkoladeltachastnayashkolaindexhtml.htm,8127846981,www.shkoladelta.ru
"№ 279, школа индивидуального развития и обучения [ЗАКРЫТА]",../../deti-s-osobennostyami-razvitiya/279-shkola-individualnogo-razvitiya-i-obucheniya/index.html,a209,kirovskij,1,50.6,"",8.5,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya279shkolaindividualnogorazvitiyaiobucheniyaindexhtml.htm,8127521919|8127520725,school279.spb.ru
Центр информационной культуры (ЦИК) [ЗАКРЫТА],../../sredneobrazovatelnaya-shkola/tsentr-informatsionnoj-kulturyi-tsik/index.html,a811,kirovskij,"",28.6,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolatsentrinformatsionnojkulturyitsikindexhtml.htm,8127861924,""
"№ 648, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/648-shkola/index.html,a755,kolpinskij,"",53.3,"",8.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola648shkolaindexhtml.htm,8124172850,gousochn648.narod.ru
"№ 478, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/478-shkola/index.html,a263,kolpinskij,"","","",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola478shkolaindexhtml.htm,8124616216|8124616218,kolpino.edu.ru/school478
"УЧАСТИЕ, образовательный центр",../../drugoe/uchastie-obrazovatelnyij-tsentr/index.html,a310,krasnogvardejskij,"","","",0,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoeuchastieobrazovatelnyijtsentrindexhtml.htm,8124443473|8124443862,fondedu.ru
Эпишкола,../../sredneobrazovatelnaya-shkola/epishkola/index.html,a738,krasnogvardejskij,3,"","",9.4,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaepishkolaindexhtml.htm,8124443862|8124443473,epischool.edu.ru
"№ 198, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/198-shkola/index.html,a292,krasnogvardejskij,"",47.4,"",2.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola198shkolaindexhtml.htm,"",""
"№ 170, школа [ЗАКРЫТА]",../../deti-s-osobennostyami-razvitiya/170-shkola-klassyi-dlya-detej-s-oslablennyim-zdorovem/index.html,a283,krasnogvardejskij,"",43.8,"",0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya170shkolaklassyidlyadetejsoslablennyimzdorovemindexhtml.htm,8122256264|8122253045,170piter.ucoz.ru
Кронштадтский морской кадетский корпус (КМКК),../../voennoe-uchilische/kronshtadtskij-morskoj-kadetskij-korpus/index.html,a767,kronshtadtskij,1,50.2,4.2,5.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischekronshtadtskijmorskojkadetskijkorpusindexhtml.htm,8183111464,kmkk.edumil.ru
"№ 424, школа",../../deti-s-osobennostyami-razvitiya/424-sanatornaya-shkola-internat/index.html,a359,kronshtadtskij,"",44.0,"",9.0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya424sanatornayashkolainternatindexhtml.htm,8123115257|8123115654,www.libraveka.narod.ru
"Школа ""Аксон""",../../sredneobrazovatelnaya-shkola/shkola-akson/index.html,a764,kronshtadtskij,"","","",7.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolashkolaaksonindexhtml.htm,9219424550,www.axonschool.ru
"№ 669, центр образования",../../sredneobrazovatelnaya-shkola/669-shkola/index.html,a742,kurortnyij,"",38.6,3.0,9.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola669shkolaindexhtml.htm,8124371516,www.c669.ru
Академия,../../chastnaya-shkola/akademiya/index.html,a1119,kurortnyij,"","","",0,Частная школа,../data/shkola-spb.ru/cache/chastnayashkolaakademiyaindexhtml.htm,8124320574,www.repino-kids.ru
"РИД, частная школа",../../sredneobrazovatelnaya-shkola/rid/index.html,a417,petrogradskij,"",57.2,"",5.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaridindexhtml.htm,8123690212|8122344860,www.reed.ru
"""Северная Венеция"", гимназия",../../inostrannyie-yazyiki/gimnaziya-severnaya-venetsiya/index.html,a733,moskovskij,"",52.4,"",7.1,Иностранные языки|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikigimnaziyasevernayavenetsiyaindexhtml.htm,8124587081|8124587080|8124587079,www.schoolsv.ru
