name,ogrn
ГБУ ДО ЦППМСП Колпинского района,1027808757910
"Естественно-научный лицей федерального государственного автономного образовательного учреждения высшего образования ""Санкт-Петербургский политехнический университет Петра Великого""",1027802505279
Естественно-научный лицей СПбПУ,1027802505279
Лицей № ,1027802505279
Лицей №,1027802505279
"№ , лицей",1027802505279
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 31 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга,1037800017969
ГБОУ СОШ №31,1037800017969
ГОУ СОШ №31,1037800017969
Школа № 31,1037800017969
Школа №31,1037800017969
"№ 31, школа",1037800017969
Государственное бюджетное учреждение дополнительного образования Центр технического творчества Адмиралтейского района Санкт-Петербурга,1127847051287
ГБУ ДО ЦТТ,1127847051287
Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогического сопровождения Адмиралтейского района Санкт-Петербурга,1037851003629
ГБУ ДО ЦППС Адмиралтейского района,1037851003629
Государственное бюджетное общеобразовательное учреждение школа № 565 Кировского района Санкт-Петербурга,1027802726544
ГБОУ школа №565,1027802726544
ГСКОУ школа №565,1027802726544
"Государственное бюджетное общеобразовательное учреждение для детей, нуждающихся в длительном лечении, школа-интернат № 68 Пушкинского района Санкт-Петербурга",1027809010041
ГБОУ ШИ №68,1027809010041
ГОУ СШИ №68,1027809010041
"Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический центр"" Невского района Санкт-Петербурга",1027806063174
ГБУ ДППО ЦПКС ИМЦ Невского района,1027806063174
"Государственное бюджетное учреждение дополнительного образования ""Дом детского творчества ""Левобережный"" Невского района Санкт-Петербурга",1027806081720
"ГБУ ДО ДДТ ""Левобережный""",1027806081720
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 4 с углубленным изучением французского языка имени Жака-Ива Кусто Василеостровского района Санкт-Петербурга,1027800560303
ГБОУ СОШ №4 Кусто,1027800560303
ГОУ СОШ №4 (фр.),1027800560303
Школа № 4,1027800560303
Школа №4,1027800560303
"№ 4, школа",1027800560303
Государственное бюджетное общеобразовательное учреждение школа № 613 Московского района Санкт-Петербурга,1027804894303
ГБОУ школа №613,1027804894303
ГС(К)ОУ № 613,1027804894303
Государственное бюджетное общеобразовательное учреждение школа №10 Калининского района Санкт-Петербурга,1037843093991
ГБОУ №10,1037843093991
ГСОУ №10,1037843093991
Государственное бюджетное общеобразовательное учреждение школа-интернат № 6 Красногвардейского района Санкт-Петербурга,1027804187850
ГБОУ школа-интернат №6,1027804187850
ГОУСК школа-интернат №6,1027804187850
Государственное бюджетное общеобразовательное учреждение школа-интернат № 1 имени К.К.Грота Красногвардейского района Санкт-Петербурга,1027804177037
ГБОУ школа-инт. №1,1027804177037
ГБОУ школа-инт.№1,1027804177037
"Частное образовательное учреждение среднего общего образования ""Лицей АРИСТОС""",1037869004140
"ЧОУ СОО ""Лицей АРИСТОС""",1037869004140
Государственное бюджетное общеобразовательное учреждение школа-интернат №1 Выборгского района Санкт-Петербурга,1027801583204
ГБОУ школа-интернат №001,1027801583204
ГОУ школа-интернат №001,1027801583204
Государственное бюджетное учреждение дополнительного образования Центр детского и юношеского музыкально-хореографического искусства «Эдельвейс» Приморского района Санкт–Петербурга,1097847015243
"ГБУ ДО ЦИ ""Эдельвейс""",1097847015243
Государственное бюджетное общеобразовательное учреждение школа-интернат № 49 Петродворцового района Санкт-Петербурга «Школа здоровья»,1027808913384
ГБОУ школа-интернат №49,1027808913384
ГОУ СКОШ № 49,1027808913384
"Государственное бюджетное учреждение дополнительного образования ""Центр гражданского и патриотического воспитания детей и молодежи ""Взлет"" Невского района Санкт-Петербурга",1127847041871
"ГБУ ДО ЦГПВДиМ ""Взлет""",1127847041871
Аничков лицей,1027809227059
Гимназия №67,1027806860674
Морская школа,1027804895051
Школа «Тутти»,1037843012790
Школа №4 имени Жака-Ива Кусто,1027800560303
"Школа №8 ""Музыка""",1027807997051
