name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
"№ 372, школа",../../sredneobrazovatelnaya-shkola/372-shkola/index.html,a386,moskovskij,1,52.7,3.7,5.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola372shkolaindexhtml.htm,8127270698|8127270096,372.ucoz.ru,435c9709f390632de5a2193013b151cb,select_exactly
"№ 509, школа",../../sredneobrazovatelnaya-shkola/509-shkola/index.html,a397,moskovskij,1,52.6,"",7.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola509shkolaindexhtml.htm,8123696212|8123696261,sch509spb.narod.ru,5375fa93b04f1889c79d35d105762f96,select_exactly
"""Северная Венеция"", гимназия",../../inostrannyie-yazyiki/gimnaziya-severnaya-venetsiya/index.html,a733,moskovskij,"",52.4,"",7.1,Иностранные языки|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikigimnaziyasevernayavenetsiyaindexhtml.htm,8124587081|8124587080|8124587079,www.schoolsv.ru,5a1306f23dd4585b5c22503c96879d83,not_detected
"№ 496, школа",../../sredneobrazovatelnaya-shkola/496-shkola/index.html,a394,moskovskij,"",52.2,"",4.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola496shkolaindexhtml.htm,8123742160|8123741574,school496.spb.edu.ru,d1b7549445b9e59d33aa3a12f6b9df00,select_exactly
"СТУДИУМ, частная общеобразовательная школа с углубленным изучением иностранного языка",../../inostrannyie-yazyiki/studium-chastnaya-obscheobrazovatelnaya-shkola-s-uglublennyim-izucheniem-inostrannogo-yazyika/index.html,a420,moskovskij,"",51.6,"",7.2,Иностранные языки|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikistudiumchastnayaobscheobrazovatelnayashkolasuglublennyimizuchenieminostrannogoyazyikaindexhtml.htm,8123689474,www.studium-school.ru,7e87280183c7c61f00fb59d6e782a3d9,not_detected
"№ 594, школа",../../sredneobrazovatelnaya-shkola/594-shkola/index.html,a410,moskovskij,"",51.5,"",4.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola594shkolaindexhtml.htm,8123731280|8123710058,school594.spb.ru,ef9eb60e80e0dc1d14c730b3b1fb1e88,select_exactly
"№ 519, школа",../../sredneobrazovatelnaya-shkola/519-shkola/index.html,a400,moskovskij,"",51.4,"",5.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola519shkolaindexhtml.htm,8127270531|8127270828,school519.spb.ru,44c25015b881c72e834e1f3bdf34da0d,select_exactly
"№ 495, школа",../../sredneobrazovatelnaya-shkola/495-shkola/index.html,a393,moskovskij,"",51.1,3.6,5.6,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola495shkolaindexhtml.htm,8123755816|8123709665,www.school495.ru,5b56dedd202a2669cce686543d2bee74,select_exactly
"№ 543, школа",../../sredneobrazovatelnaya-shkola/543-shkola/index.html,a408,moskovskij,"",50.8,3.6,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola543shkolaindexhtml.htm,8123795606|8123790319,www.543spb.edusite.ru,c32f1ffc5849abfde79e566a2513cb2e,select_exactly
"№ 508, школа с углубленным изучением предметов образовательных областей «Искусство» и «Технология»",../../hudozhestvenno-esteticheskoe-obrazovanie/508-shkola-s-uglublennyim-izucheniem-predmetov-obrazovatelnyih-oblastej-iskusstvo-i-tehnologiya/index.html,a396,moskovskij,3,50.3,4.0,4.8,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovanie508shkolasuglublennyimizucheniempredmetovobrazovatelnyihoblastejiskusstvoitehnologiyaindexhtml.htm,8127275580|8127277830|8127270514,school508.spb.edu.ru,f616bfd13aacf5026b3b4f8e4bf23bf9,select_by_number
"№ 537, школа",../../sredneobrazovatelnaya-shkola/537-shkola/index.html,a407,moskovskij,"",50.0,3.8,7.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola537shkolaindexhtml.htm,8125739591|8124172370|8124172371|8124172369,school537.spb.ru,74a8636c38cac12f8dfda7dbd81a042a,select_exactly
"№ 362, школа",../../sredneobrazovatelnaya-shkola/362-shkola/index.html,a383,moskovskij,1,49.2,"",4.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola362shkolaindexhtml.htm,8127270420|8127270401,www.school362spb.narod.ru,eb34ba76ea002eadec3f6fc11d5586d6,select_exactly
"№ 355, школа",../../sredneobrazovatelnaya-shkola/355-shkola/index.html,a380,moskovskij,"",49.0,"",6.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola355shkolaindexhtml.htm,8123880277|8123881594|8123885858,school355.spb.edu.ru,a05ffce54f2c45eaf254f136073d5b37,select_exactly
"№ 484, школа (кадетские классы)",../../voennoe-uchilische/484-shkola-kadetskie-klassyi/index.html,a390,moskovskij,"",47.0,3.6,5.1,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilische484shkolakadetskieklassyiindexhtml.htm,8123730610|8123738209,school484.spb.ru,3621f4358b920e5694c34dbec1aef22a,select_by_number
"№ 353, школа",../../sredneobrazovatelnaya-shkola/353-shkola/index.html,a378,moskovskij,"",41.1,"",8.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola353shkolaindexhtml.htm,8123637459|8123637458,school353.spb.ru,5173087fb3edeb7537d2848cc5fef82a,select_exactly
"№ 2, центр образования",../../sredneobrazovatelnaya-shkola/2-tsentr-obrazovaniya/index.html,a760,moskovskij,"",40.4,2.6,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola2tsentrobrazovaniyaindexhtml.htm,8123885388|8123874347,www.co2.mosk.spb.ru,c3176b7fff707d9316ddbe6be62a13d2,select_manual
"№ 374, школа (кадетский класс)",../../voennoe-uchilische/374-shkola-kadetskij-klass/index.html,a388,moskovskij,"",39.6,2.9,6.7,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilische374shkolakadetskijklassindexhtml.htm,8123884394|8123691716,www.sites.google.com/site/kadets374 ,bdb48609c0195519d6afaef58610e787,not_detected
"№ 684, школа «БЕРЕГИНЯ»",../../nachalnaya-shkola/684-nachalnaya-shkola-detskij-sad-bereginya/index.html,a414,moskovskij,"","","",3.9,"",../data/shkola-spb.ru/cache/nachalnayashkola684nachalnayashkoladetskijsadbereginyaindexhtml.htm,8123827739,www.bereginia.spb.ru,b21be5140c4581ec06b41757bef342e9,select_by_number
"№ 698, прогимназия «ПАНСИОН»",../../nachalnaya-shkola/698-progimnaziya-pansion/index.html,a415,moskovskij,"","","",7.8,Начальная школа,../data/shkola-spb.ru/cache/nachalnayashkola698progimnaziyapansionindexhtml.htm,8123884969,www.pansyon.spb.ru,cf8447abcc7d4dd2bb09c1c7d2fadbf1,select_by_number
"САША, сад-лицей",../../nachalnaya-shkola/sasha-sad-litsej/index.html,a416,moskovskij,"","","",6.9,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolasashasadlitsejindexhtml.htm,8123885184|8123880793,www.ls.spb.ru,cd917a7f689e15ac7b645e3f070e597f,not_detected
"ТЕТ-А-ТЕТ, частная школа",../../sredneobrazovatelnaya-shkola/tet-a-tet-shkola/index.html,a419,moskovskij,"","","",6.8,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolatetatetshkolaindexhtml.htm,9119539165|9112416829,www.tet-a-tet-school.spb.ru,c4643221b0e1a72041d55b7b7ce9cdba,not_detected
УЧИМСЯ ВМЕСТЕ,../../sredneobrazovatelnaya-shkola/uchimsya-vmeste/index.html,a421,moskovskij,"","","",6.7,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolauchimsyavmesteindexhtml.htm,8123730050|9112373453,uchimsia-vmeste.com,ae5fbd4734eafc6b1a3c1c97b8939861,not_detected
"№ 663, школа",../../deti-s-osobennostyami-razvitiya/shkola-663/index.html,a802,moskovskij,"","","",0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiyashkola663indexhtml.htm,8123781319,www.sch663.ru,bfb420aabb8ae176c0484a01aab71273,select_by_number
"№ 376, школа",../../sredneobrazovatelnaya-shkola/-376-shkola/index.html,a1093,moskovskij,"","","",6.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola376shkolaindexhtml.htm,"",376.edu.vuztc.ru,9c10cc32c4cacaa3db6d87afdf651251,select_exactly
