name,href,id,area
"№ 73, Ломоносовская гимназия",../../sredneobrazovatelnaya-shkola/73-lomonosovskaya-gimnaziya/index.html,a83,vyiborgskij
Медицинская Гимназия с православным воспитанием детей,../../biologiya/meditsinskaya-gimnaziya-s-pravoslavnyim-vospitaniem-detej/index.html,a136,vyiborgskij
"№ 74, гимназия",../../nemetskij-yazyik/74-gimnaziya/index.html,a84,vyiborgskij
Естественно-научный лицей СПбПУ (ЕНЛ СПбПУ),../../informatika/632-estestvenno-nauchnyij-litsej-pri-sankt-peterburgskom-gosudarstvennom-politehnicheskom-universitete/index.html,a188,vyiborgskij
"№ 605, школа с углубленным изучением немецкого языка",../../inostrannyie-yazyiki/605-shkola-s-uglublennyim-izucheniem-nemetskogo-yazyika/index.html,a130,vyiborgskij
"№ 61, гимназия",../../anglijskij-yazyik/61-gimnaziya-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a80,vyiborgskij
"№ 488, лицей",../../sredneobrazovatelnaya-shkola/488-litsej/index.html,a121,vyiborgskij
"№ 92, гимназия",../../sredneobrazovatelnaya-shkola/92-gimnaziya/index.html,a88,vyiborgskij
"№ 534, школа с углубленным изучением английского языка",../../anglijskij-yazyik/534-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a125,vyiborgskij
"№ 105, гимназия",../../anglijskij-yazyik/105-gimnaziya-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a96,vyiborgskij
"Паскаль Лицей, частная школа",../../sredneobrazovatelnaya-shkola/paskal-litsej/index.html,a137,vyiborgskij
"№ 622, гимназия с углубленным изучением права",../../pravo/622-gimnaziya-s-uglublennyim-izucheniem-prava/index.html,a131,vyiborgskij
"№ 295, гимназия",../../sredneobrazovatelnaya-shkola/295-gimnaziya/index.html,a616,vyiborgskij
"№ 652, гимназия",../../inostrannyie-yazyiki/652-gimnaziya-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a133,vyiborgskij
"№ 83, школа с углубленным изучением японского и английского языков",../../anglijskij-yazyik/83-shkola-s-uglublennyim-izucheniem-yaponskogo-i-anglijskogo-yazyikov/index.html,a86,vyiborgskij
"Менахем, школа-сад, частное общеобразовательное учреждение",../../nachalnaya-shkola/menahem-shkola-sad-chastnoe-obscheobrazovatelnoe-uchrezhdenie/index.html,a140,vyiborgskij
"№ 101, лицей",../../matematika/101-litsej/index.html,a92,vyiborgskij
"№ 623, лицей им. И. П. Павлова",../../biologiya/623-litsej-im-i-p-pavlova/index.html,a132,vyiborgskij
