name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"№ 43, лингвистическая школа с углубленным изучением иностранных языков",../../inostrannyie-yazyiki/43-lingvisticheskaya-shkola-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a527,primorskij,11,56.8,3.9,6.3,Иностранные языки,../data/shkola-spb.ru/cache/inostrannyieyazyiki43lingvisticheskayashkolasuglublennyimizuchenieminostrannyihyazyikovindexhtml.htm,8123930464|8123930234|8123935425,school43.spb.ru
"№ 683, школа",../../sredneobrazovatelnaya-shkola/683-shkola/index.html,a568,primorskij,2,56.1,3.9,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola683shkolaindexhtml.htm,8123452152|8123455435,school683.ru
"№ 583, школа с углубленным изучением английского и японского языков",../../anglijskij-yazyik/583-shkola-s-uglublennyim-izucheniem-anglijskogo-i-yaponskogo-yazyikov/index.html,a552,primorskij,1,56.1,3.7,5.2,Английский язык|Другие языки|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik583shkolasuglublennyimizucheniemanglijskogoiyaponskogoyazyikovindexhtml.htm,8123952652|8123071216,www.school583spb.narod.ru
"№ 617, школа",../../sredneobrazovatelnaya-shkola/617-shkola/index.html,a560,primorskij,5,56.0,4.1,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola617shkolaindexhtml.htm,8123046321|8123047559,school617.spb.ru
"№ 38, школа",../../sredneobrazovatelnaya-shkola/38-shkola/index.html,a523,primorskij,"",55.8,3.9,6.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola38shkolaindexhtml.htm,8123494217|8123497992|8123496065,spb-school-38.ru
"№ 635, школа",../../sredneobrazovatelnaya-shkola/635-shkola/index.html,a564,primorskij,1,55.7,3.9,5.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola635shkolaindexhtml.htm,8123439147,school635.spb.ru
"№ 580, школа",../../sredneobrazovatelnaya-shkola/580-shkola/index.html,a549,primorskij,2,55.4,3.7,7.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola580shkolaindexhtml.htm,8123070878|8123070879,school580.ucoz.ru
"№ 555, школа «БЕЛОГОРЬЕ» с углубленным изучением английского языка",../../anglijskij-yazyik/555-shkola-belogore-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a546,primorskij,7,55.3,4.1,5.7,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik555shkolabelogoresuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123488580,555school.ucoz.ru
"№ 45, школа с углубленным изучением математики",../../matematika/45-shkola-s-uglublennyim-izucheniem-matematiki/index.html,a529,primorskij,9,55.3,"",4.9,Математика,../data/shkola-spb.ru/cache/matematika45shkolasuglublennyimizucheniemmatematikiindexhtml.htm,8123952691,www.sckola45.spb.ru
"№ 595, школа",../../sredneobrazovatelnaya-shkola/595-shkola/index.html,a553,primorskij,"",54.9,3.8,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola595shkolaindexhtml.htm,8123480596|8123069989,www.school595.ru
"№ 253, школа",../../sredneobrazovatelnaya-shkola/253-shkola/index.html,a541,primorskij,3,54.6,4.0,6.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola253shkolaindexhtml.htm,8123043868,школа253.рф
Международная гимназия Ольгино,../../sredneobrazovatelnaya-shkola/mezhdunarodnyij-litsej-sankt-peterburgskogo-gumanitarnogo-universiteta-profsoyuzov/index.html,a573,primorskij,2,54.3,3.6,7.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolamezhdunarodnyijlitsejsanktpeterburgskogogumanitarnogouniversitetaprofsoyuzovindexhtml.htm,8124982536|8123272737,www.luhta.gup.ru
"№ 579, школа",../../sredneobrazovatelnaya-shkola/579-shkola/index.html,a548,primorskij,1,54.1,4.0,7.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola579shkolaindexhtml.htm,8123076402|8123431762,www.s579.ru
"№ 688, школа для детей с ослабленным здоровьем и сохранным интеллектом",../../deti-s-osobennostyami-razvitiya/688-shkola-dlya-bolnyih-detej-i-detej-s-oslablennyim-zdorovem-s-sohrannyim-intellektom-po-meditsinskim-pokazaniyam/index.html,a570,primorskij,"",53.6,3.8,9.1,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya688shkoladlyabolnyihdetejidetejsoslablennyimzdorovemssohrannyimintellektompomeditsinskimpokazaniyamindexhtml.htm,8123066010,www.school688.ru
"№ 44, школа (восточные языки)",../../sredneobrazovatelnaya-shkola/44-shkola/index.html,a528,primorskij,"",53.4,3.7,8.5,Другие языки|Иностранные языки,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola44shkolaindexhtml.htm,8124302230|8124301801,www.school44.spb.ru
НОУ ЛИЦЕЙ,../../nachalnaya-shkola/litsej/index.html,a579,primorskij,"",53.4,"",9.3,Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolalitsejindexhtml.htm,8123428788,www.noul.spb.ru
"ЛИДЕР, школа",../../sredneobrazovatelnaya-shkola/lider-shkola/index.html,a577,primorskij,"",53.4,"",5.7,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolalidershkolaindexhtml.htm,8123424642,school-lider.spb.ru
"№ 320, школа",../../sredneobrazovatelnaya-shkola/320-shkola/index.html,a696,primorskij,3,53.3,3.7,5.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola320shkolaindexhtml.htm,8125678327,www.school320.ru
"№ 600, школа с углубленным изучением английского языка",../../anglijskij-yazyik/600-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a558,primorskij,"",53.1,3.6,4.4,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik600shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123441431|8124918070,school600.spb.ru
"№ 655, школа",../../sredneobrazovatelnaya-shkola/-655-shkola/index.html,a851,primorskij,"",53.0,3.6,6.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola655shkolaindexhtml.htm,8125768384,school-655.spb.ru
"№ 57, школа",../../sredneobrazovatelnaya-shkola/57-shkola/index.html,a534,primorskij,2,52.2,3.6,3.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola57shkolaindexhtml.htm,8123934981|8123934212,scholar57.narod.ru
"№ 601, школа",../../sredneobrazovatelnaya-shkola/601-shkola/index.html,a559,primorskij,"",52.0,3.9,4.2,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola601shkolaindexhtml.htm,8123451058|8123451515,www.school601.ru
"№ 581, школа",../../sredneobrazovatelnaya-shkola/581-litsej/index.html,a550,primorskij,"",51.5,3.4,5.5,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola581litsejindexhtml.htm,8123074004|8123071210,shkola581.ru
"№ 599, школа",../../sredneobrazovatelnaya-shkola/599-shkola/index.html,a557,primorskij,"",51.3,3.8,4.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola599shkolaindexhtml.htm,8123445888|8123444653,school-599.narod.ru
"№ 630, школа",../../sredneobrazovatelnaya-shkola/630-shkola/index.html,a782,primorskij,"",51.0,3.6,6.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola630shkolaindexhtml.htm,8124356647,www.school630spb.ru
"№ 661, школа",../../sredneobrazovatelnaya-shkola/661-shkola/index.html,a567,primorskij,1,51.0,3.2,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola661shkolaindexhtml.htm,8123416043|8123416042,www.school661.spb.ru
